block,uncles_zero,uncles_one,uncles_two,difficulty_median,difficulty_mean,difficulty_p1,difficulty_p5,difficulty_p25,difficulty_p50,difficulty_p75,difficulty_p95,difficulty_p99,timedelta_median,timedelta_mean,timedelta_p1,timedelta_p5,timedelta_p25,timedelta_p50,timedelta_p75,timedelta_p95,timedelta_p99,block_timestamp_date,block_timestamp_time
2210000,8873,1046,81,8.5458105278315e+12,8.53503952139514e+12,8.272259986731e+12,8.341210278535e+12,8.473438753869e+12,8.545804553327e+12,8.609805753891e+12,8.675285050202e+12,8.718205786698e+12,11,14.3319,1,1,5,11,20,41,62,2016-09-07,02:37:41
2220000,8715,1184,101,8.68219712859e+12,8.638829994841308e+12,8.279237502269e+12,8.328056192151e+12,8.508205372143e+12,8.682197078874e+12,8.768012586659e+12,8.871223637582e+12,8.901329922627e+12,10,14.2065,1,1,5,10,19,40,60,2016-09-08,18:05:26
2230000,8694,1202,104,8.4097385423145e+12,8.432200739964464e+12,8.165985988967e+12,8.198072372083e+12,8.336070672298e+12,8.409700604692e+12,8.519178564583e+12,8.699430757944e+12,8.742225181337e+12,11,14.3716,1,1,5,11,19,40,62,2016-09-10,10:00:42
2240000,8753,1158,89,8.300401923953e+12,8.317307002005193e+12,8.073617672022e+12,8.1109516888e+12,8.215210978255e+12,8.300401340062e+12,8.432484432676e+12,8.52758296724e+12,8.586009865528e+12,11,14.4932,1,2,5,11,20,41,60,2016-09-12,02:16:14
2250000,8599,1252,149,7.864633826105e+12,7.872840679347141e+12,7.661423565587e+12,7.687449192628e+12,7.762637023617e+12,7.864603601801e+12,7.941907025494e+12,8.112957606563e+12,8.156126747084e+12,11,14.4292,1,2,5,11,20,39,62,2016-09-13,18:21:06
2260000,8585,1260,155,7.719008603456e+12,7.714680796985152e+12,7.494009662836e+12,7.539290570173e+12,7.608109715497e+12,7.71900635625e+12,7.807932255097e+12,7.896475927442e+12,7.927407850622e+12,11,14.3716,1,2,5,11,19,39,59,2016-09-15,10:16:22
2270000,8517,1335,148,7.7695249349155e+12,7.760710584979717e+12,7.57403416125e+12,7.627764809222e+12,7.701253792449e+12,7.769329119497e+12,7.816601736774e+12,7.876538338459e+12,7.976806800498e+12,11,14.39,1,1,5,11,19,39,61,2016-09-17,02:14:42
2280000,8535,1311,154,7.820259631211e+12,7.822890896968078e+12,7.585766044185e+12,7.631782750001e+12,7.74835506246e+12,7.820259188707e+12,7.902657555134e+12,8.014234403902e+12,8.0616605574e+12,11,14.2803,1,2,5,11,19,40,62,2016-09-18,17:54:45
2290000,8637,1234,129,7.861791904398e+12,7.870938114950569e+12,6.745713851119e+12,7.01125100148e+12,7.479230508597e+12,7.861788374182e+12,8.425833672307e+12,8.734654491769e+12,8.799045955003e+12,11,14.6482,1,2,5,11,20,40,64,2016-09-20,10:36:07
2300000,8795,1116,89,6.9421379286605e+12,6.941806585854644e+12,6.658916144711e+12,6.701237030412e+12,6.824922753279e+12,6.942133411557e+12,7.028039913313e+12,7.255035090358e+12,7.330032860311e+12,10,14.2485,1,2,5,10,19,40,61,2016-09-22,02:10:52
2310000,8917,997,86,7.783551723031e+12,7.651717263572594e+12,6.976517145819e+12,7.027794344684e+12,7.276619037342e+12,7.783550674455e+12,7.982574542984e+12,8.184307460782e+12,8.260809341068e+12,10,14.1541,1,2,5,10,19,40,63,2016-09-23,17:29:53
2320000,8926,999,75,7.3646694989615e+12,7.389426865196662e+12,6.876262667556e+12,6.943815001284e+12,7.096625480345e+12,7.364668047967e+12,7.66863727835e+12,7.8574144429e+12,7.880348609177e+12,10,14.5365,1,2,5,10,19,41,68,2016-09-25,09:52:38
2330000,8905,1017,78,7.619320738969e+12,7.601137094389789e+12,7.022666398087e+12,7.102154337886e+12,7.485704870735e+12,7.619319690393e+12,7.777614448776e+12,7.994009252751e+12,8.099971131241e+12,10,14.153,1,2,5,10,19,39,62,2016-09-27,01:11:28
2340000,8929,1000,71,7.4374717282415e+12,7.387290602265188e+12,6.981431490146e+12,7.022320582206e+12,7.160742525548e+12,7.437469982883e+12,7.598855516161e+12,7.702895892485e+12,7.73311654442e+12,10,14.2963,1,1,5,10,19,41,66,2016-09-28,16:54:11
2350000,8883,1018,99,7.768861659081e+12,7.7818837251720625e+12,7.448730690724e+12,7.502878930174e+12,7.644535283902e+12,7.768861644336e+12,7.963097187138e+12,8.044490328106e+12,8.132000333256e+12,10,14.2519,1,1,5,10,19,40,62,2016-09-30,08:29:30
2360000,8830,1067,103,7.682962124513e+12,7.684876719060316e+12,7.401533524966e+12,7.465260957319e+12,7.547269585108e+12,7.682961995593e+12,7.806739051169e+12,7.930078142365e+12,7.980570275264e+12,10,14.3854,1,2,5,10,20,40,62,2016-10-02,00:27:04
2370000,8676,1200,124,7.381543296126e+12,7.407297601531418e+12,7.153229407035e+12,7.195303873263e+12,7.300217186304e+12,7.38154224755e+12,7.509031649813e+12,7.674405922046e+12,7.712278806798e+12,10,14.3079,1,2,5,10,19,40,62,2016-10-03,16:11:43
2380000,8618,1237,145,7.610412946476e+12,7.597583658113281e+12,7.394953570422e+12,7.425881986676e+12,7.540779238723e+12,7.6104118979e+12,7.659203671236e+12,7.731796292564e+12,7.759912371278e+12,10,14.3521,1,2,5,10,19,40,60,2016-10-05,08:03:44
2390000,8768,1151,81,7.789147799193e+12,7.789670000414125e+12,7.209575611613e+12,7.247902899783e+12,7.372629221986e+12,7.789146750617e+12,8.021164144856e+12,8.406777658243e+12,8.498196047895e+12,10,14.0765,1,1,5,10,19,40,62,2016-10-06,23:09:49
2400000,8917,1003,80,7.7038297177055e+12,7.830000189601408e+12,7.190874578713e+12,7.275525701416e+12,7.53522288881e+12,7.702481049656e+12,8.093897067163e+12,8.485860275659e+12,8.552339226509e+12,11,14.5196,1,1,5,11,20,42,61,2016-10-08,15:29:45
2410000,9041,905,54,8.124459191525e+12,8.136065948244025e+12,7.552179215544e+12,7.638069115401e+12,7.876025557792e+12,8.124455964708e+12,8.431844672392e+12,8.5533154672e+12,8.599877548608e+12,10,14.0435,1,1,5,10,19,40,61,2016-10-10,06:30:20
2420000,9069,875,56,8.5256371928525e+12,8.53499126102833e+12,8.358423302815e+12,8.383915259619e+12,8.452169626089e+12,8.525625329173e+12,8.611701190209e+12,8.708591439163e+12,8.750549345596e+12,10,14.2863,1,2,5,10,20,40,62,2016-10-11,22:11:23
2430000,7976,1605,419,6.850926028049e+12,6.927027008339602e+12,6.312041741159e+12,6.36428831674e+12,6.659417045467e+12,6.850925357282e+12,6.980321541809e+12,8.098906503933e+12,8.507501579264e+12,11,14.902,1,2,6,11,20,41,62,2016-10-13,15:35:03
2440000,8931,963,106,7.2829214701815e+12,7.286268186252571e+12,6.707662128488e+12,6.844315018065e+12,7.092856068856e+12,7.282916044869e+12,7.464994337117e+12,7.690031807561e+12,7.745064654915e+12,10,14.0601,1,1,5,10,19,40,61,2016-10-15,06:38:24
2450000,9121,798,81,7.843108156273e+12,7.846554416224379e+12,7.507003728273e+12,7.622587957079e+12,7.771667095943e+12,7.842719632217e+12,7.943486737481e+12,8.044030123953e+12,8.088082915392e+12,10,14.1546,1,1,5,10,19,41,60,2016-10-16,21:57:30
2460000,8980,934,86,8.359004461084e+12,8.229374283886874e+12,7.478924439931e+12,7.519290571631e+12,7.960790635166e+12,8.358996959563e+12,8.499990937286e+12,8.675378959276e+12,8.728014120809e+12,10,14.5236,1,1,5,10,20,41,61,2016-10-18,14:18:06
2470000,8469,1221,310,7.6356276945785e+12,7.536405563111166e+12,6.293218106157e+12,6.390138278023e+12,7.163292110549e+12,7.635624134724e+12,8.139108998432e+12,8.318994331771e+12,8.363005978258e+12,10,14.3603,1,1,5,10,19,40,64,2016-10-20,06:11:29
2480000,9263,694,43,8.616186588637e+12,8.453523175983856e+12,7.612702643459e+12,7.665870155291e+12,8.213865591822e+12,8.616087499601e+12,8.747757232084e+12,8.846491590119e+12,8.880953647827e+12,10,14.0162,1,1,5,10,19,40,65,2016-10-21,21:07:31
2490000,9385,590,25,8.915431262643e+12,8.919211113327627e+12,8.68890039906e+12,8.720723554784e+12,8.828380255764e+12,8.915429602721e+12,8.998446156198e+12,9.14085284327e+12,9.171763198947e+12,10,14.287,1,1,5,10,20,41,62,2016-10-23,12:48:41
2500000,9241,709,50,8.778271992678e+12,8.785511725623539e+12,8.529649072531e+12,8.559982722756e+12,8.676279948847e+12,8.778265692875e+12,8.904565249625e+12,9.001819048555e+12,9.096168258551e+12,10,14.1471,1,1,5,10,19,41,63,2016-10-25,04:06:32
2510000,9273,696,31,9.190204056589e+12,9.178452512488707e+12,8.74463715512e+12,8.8850867163e+12,9.059595342008e+12,9.190199862285e+12,9.314222170442e+12,9.411845774371e+12,9.468797017538e+12,10,14.095,1,1,4,10,20,40,61,2016-10-26,19:15:42
2520000,9240,721,39,9.18305653149e+12,9.125657151022951e+12,8.523662088299e+12,8.585482627045e+12,8.867327918266e+12,9.183040842834e+12,9.392735810385e+12,9.525353683206e+12,9.607373687866e+12,10,14.2594,1,1,4,10,20,41,63,2016-10-28,10:52:16
2530000,9130,830,40,7.352839655662e+12,7.680580681024095e+12,6.365928721634e+12,6.501260558278e+12,7.0880079471e+12,7.352816448983e+12,8.448791168153e+12,8.859366883557e+12,8.918583047727e+12,11,14.874,1,1,5,11,21,43,64,2016-10-30,04:11:16
2540000,8973,964,63,6.5131361268215e+12,6.483088274949204e+12,6.198699086092e+12,6.234967175655e+12,6.345424686159e+12,6.513113558402e+12,6.58029559694e+12,6.705207508301e+12,6.76453020538e+12,10,14.0999,1,1,5,10,20,41,61,2016-10-31,19:21:15
2550000,8979,957,64,5.3953133949395e+12,5.668819265770924e+12,4.997079771965e+12,5.06220387134e+12,5.146527941329e+12,5.395125251525e+12,6.21939960194e+12,6.733884342479e+12,6.767228854525e+12,11,14.8908,1,1,5,11,20,43,64,2016-11-02,12:43:03
2560000,8708,1186,106,4.587864141383e+12,4.64949466552456e+12,4.362633576096e+12,4.381284590978e+12,4.417968605176e+12,4.587856297642e+12,4.884109743927e+12,5.024663249083e+12,5.057233545576e+12,11,14.6274,1,1,5,11,20,41,61,2016-11-04,05:20:57
2570000,8826,1089,85,4.350834664398e+12,4.405448179007899e+12,4.088612574932e+12,4.111988860559e+12,4.265693915959e+12,4.350789470176e+12,4.638813939451e+12,4.757086943029e+12,4.872434685947e+12,10,14.0687,1,1,5,10,19,40,60,2016-11-05,20:25:44
2580000,8961,975,64,4.718516910615e+12,4.768626471642836e+12,4.485725202457e+12,4.541553152381e+12,4.625903695356e+12,4.718457517879e+12,4.909059655913e+12,5.114109536162e+12,5.218553724026e+12,10,14.095,1,1,5,10,19,40,60,2016-11-07,11:34:54
2590000,8930,986,84,5.7043237336025e+12,5.711805099667635e+12,5.203850636532e+12,5.318567602865e+12,5.560708942823e+12,5.704319878773e+12,5.959554629386e+12,6.047204550589e+12,6.072761880494e+12,10,13.9602,1,1,5,10,19,39,60,2016-11-09,02:21:36
2600000,9139,815,46,5.5410832929935e+12,5.596451090305023e+12,5.149138003824e+12,5.188895602347e+12,5.329628229387e+12,5.541072692371e+12,5.854663569645e+12,6.055565992339e+12,6.118986284157e+12,10,14.2736,1,1,4,10,20,43,69,2016-11-10,18:00:32
2610000,9203,754,43,5.3279539157165e+12,5.320473131490958e+12,5.101756580059e+12,5.180819625381e+12,5.282582162596e+12,5.327953129289e+12,5.36655902682e+12,5.442779130866e+12,5.465595298364e+12,9,14.0081,1,1,3,9,18,43,77,2016-11-12,08:55:13
2620000,9051,891,58,5.668251986691e+12,5.6371932167207295e+12,4.886158738595e+12,5.1440414048e+12,5.536320675716e+12,5.668235633189e+12,5.791427431524e+12,5.956440519496e+12,6.01439095157e+12,5,12.9475,1,1,1,5,14,44,131,2016-11-13,20:53:08
2630000,9050,901,49,5.9253683773605e+12,5.898293228237756e+12,5.543224898015e+12,5.610558312814e+12,5.829150225437e+12,5.92536665765e+12,5.994681810834e+12,6.085997428013e+12,6.140351436703e+12,1,12.6844,1,1,1,1,10,45,192,2016-11-15,08:07:12
2640000,9088,853,59,6.021840493618e+12,6.103955830307339e+12,5.588322787477e+12,5.660473930993e+12,5.79708835073e+12,6.021835580459e+12,6.446967863092e+12,6.655732440379e+12,6.686580140274e+12,5,13.0752,1,1,1,5,15,42,147,2016-11-16,20:26:24
2650000,9099,848,53,6.5372664895305e+12,6.509045103035947e+12,6.284625228864e+12,6.312938910492e+12,6.401046230256e+12,6.537266364917e+12,6.580808543495e+12,6.684158784678e+12,6.732376421221e+12,10,14.1116,1,1,4,10,19,43,72,2016-11-18,11:38:20
2660000,9063,887,50,6.4327797964945e+12,6.446955833407745e+12,5.721354144537e+12,5.948315422814e+12,6.192781585146e+12,6.43274186459e+12,6.699806928417e+12,6.912440920234e+12,6.953658244193e+12,6,13.2614,1,1,1,6,15,43,141,2016-11-20,00:28:34
2670000,9188,774,38,7.34328375409e+12,7.362130269946158e+12,5.968849345362e+12,6.250880426532e+12,7.231120647183e+12,7.343275365482e+12,7.555889539293e+12,8.312671476723e+12,8.445058865859e+12,8,13.7599,1,1,3,8,18,41,83,2016-11-21,14:41:53
2680000,9109,823,68,6.749703375465e+12,6.75702525329567e+12,5.795285465825e+12,5.930864996987e+12,6.248512771648e+12,6.749679508073e+12,7.306947825271e+12,7.456606558535e+12,7.498640968845e+12,8,14.288,1,1,3,8,18,43,99,2016-11-23,06:23:13
2690000,9151,802,47,6.001607737164e+12,6.04849569790003e+12,5.449907276357e+12,5.53701641897e+12,5.773080958136e+12,6.001602464488e+12,6.381198030771e+12,6.600990273371e+12,6.631343109438e+12,10,14.3104,1,1,4,10,20,43,71,2016-11-24,22:08:17
2700000,9170,781,49,5.7553037699705e+12,5.736221270289952e+12,5.314453752543e+12,5.388539701866e+12,5.54383269656e+12,5.75529971313e+12,5.874463953256e+12,6.091230757254e+12,6.167549251672e+12,10,13.9484,1,1,4,10,19,42,65,2016-11-26,12:53:01
2710000,9192,763,45,5.744884557235e+12,5.728957576214403e+12,5.52007135025e+12,5.556217647279e+12,5.63170792893e+12,5.744883459173e+12,5.810456755355e+12,5.893317686566e+12,6.011955576507e+12,10,14.3274,1,1,4,10,20,43,65,2016-11-28,04:40:55
2720000,9246,719,35,5.992616543532e+12,5.974109723158489e+12,5.68135198646e+12,5.769663645616e+12,5.880115353761e+12,5.992616013695e+12,6.065383857401e+12,6.172758202531e+12,6.211029812837e+12,10,13.9766,1,1,4,10,20,42,63,2016-11-29,19:30:21
2730000,9256,700,44,6.1856580006295e+12,6.192502796021371e+12,6.01560334808e+12,6.047995934864e+12,6.139861270023e+12,6.185653741857e+12,6.242643852553e+12,6.343463343021e+12,6.392620446773e+12,10,14.1615,1,1,4,10,20,43,64,2016-12-01,10:50:36
2740000,9157,798,45,6.393842918624e+12,6.440404522645126e+12,6.124285843916e+12,6.187274738762e+12,6.258658103379e+12,6.393832407062e+12,6.637576757281e+12,6.801946352593e+12,6.905219202143e+12,10,13.8317,1,1,4,10,20,41,61,2016-12-03,01:15:53
2750000,9269,696,35,7.335022925526e+12,7.316375091254646e+12,6.943712334508e+12,6.994892537632e+12,7.109922773815e+12,7.334990253685e+12,7.456536756724e+12,7.718760937171e+12,7.820594608637e+12,9,13.8977,1,1,3,9,19,43,66,2016-12-04,15:52:10
2760000,9165,784,51,7.4508747010105e+12,7.569469573574064e+12,6.991860370596e+12,7.039213934665e+12,7.152294868628e+12,7.450830512717e+12,7.950360024254e+12,8.4435077274e+12,8.513034522524e+12,9,13.706,1,1,3,9,19,43,66,2016-12-06,05:56:30
2770000,9222,737,41,7.676970990392e+12,7.963007784670835e+12,7.203858478773e+12,7.262146025184e+12,7.538079443678e+12,7.676945884857e+12,8.535130737432e+12,8.732357397191e+12,8.777348875795e+12,10,14.2671,1,1,3,10,20,44,69,2016-12-07,21:34:21
2780000,9257,701,42,7.243140167302e+12,7.249847080515621e+12,6.950091694852e+12,7.028130475846e+12,7.139410068882e+12,7.243124324981e+12,7.362818407728e+12,7.494447023772e+12,7.560886812591e+12,10,13.9773,1,1,3,10,19,42,67,2016-12-09,12:23:54
2790000,9272,693,35,7.6641182089095e+12,7.854921978131298e+12,7.340383857668e+12,7.366522192948e+12,7.506820198628e+12,7.66408369379e+12,8.372811698413e+12,8.583325409613e+12,8.669756474391e+12,9,13.6183,1,1,3,9,19,41,65,2016-12-11,02:13:37
2800000,9248,713,39,9.254209927369e+12,9.215049868178797e+12,8.618472570522e+12,8.752024684821e+12,9.080829372062e+12,9.254157029441e+12,9.389673691416e+12,9.571782762466e+12,9.622647286385e+12,9,13.709,1,1,3,9,20,43,68,2016-12-12,16:18:27
2810000,9340,618,42,9.216846535859e+12,9.249754108575014e+12,8.810797536169e+12,8.877189302018e+12,9.063375509091e+12,9.216780509337e+12,9.450909589542e+12,9.659006450848e+12,9.707824546776e+12,9,13.9047,1,1,3,9,19,44,69,2016-12-14,06:55:54
2820000,9207,761,32,9.9840228179925e+12,1.0250728484832896e+13,9.393958543866e+12,9.509390996555e+12,9.656385651824e+12,9.983890915073e+12,1.0849100909722e+13,1.1380913740584e+13,1.1476442700326e+13,9,13.4864,1,1,2,9,19,42,70,2016-12-15,20:23:38
2830000,9222,728,50,1.1667355818477e+13,1.166469554901887e+13,1.1219602761447e+13,1.1381637965591e+13,1.1491957853369e+13,1.1667344636223e+13,1.1836622484598e+13,1.1968432455911e+13,1.2052711397342e+13,8,13.6004,1,1,1,8,20,45,71,2016-12-17,10:10:22
2840000,9133,811,56,1.1647619356423e+13,1.1805353351960416e+13,1.1232799529919e+13,1.1309175036475e+13,1.1519293954362e+13,1.164757618504e+13,1.2102403158549e+13,1.2694567824368e+13,1.2834895291908e+13,9,13.8037,1,1,3,9,20,43,69,2016-12-19,00:30:59
2850000,9181,768,51,1.3544455704861e+13,1.3620858332640527e+13,1.2273649439349e+13,1.2779620924645e+13,1.323741767353e+13,1.3544433855333e+13,1.4135741360626e+13,1.4559394282751e+13,1.472846460851e+13,9,13.4207,1,1,2,9,19,43,67,2016-12-20,13:47:46
2860000,9233,714,53,1.351483454113e+13,1.3648825818806549e+13,1.2793414435771e+13,1.2906183305989e+13,1.3206305368092e+13,1.3514829284222e+13,1.4263003117408e+13,1.4537136530475e+13,1.4624100200413e+13,9,14.0735,1,1,3,9,20,45,68,2016-12-22,04:53:21
2870000,9314,656,30,1.21880291424795e+13,1.2405217860497445e+13,1.1017893414437e+13,1.1134216728466e+13,1.2083208883085e+13,1.2188023701257e+13,1.3230386562502e+13,1.3760625875927e+13,1.3837425370965e+13,9,14.3145,1,1,3,9,19,44,73,2016-12-23,20:39:06
2880000,9300,666,34,1.14374516596885e+13,1.1598455740689367e+13,1.0947673103229e+13,1.1005627001895e+13,1.1196871419185e+13,1.1437408445479e+13,1.1966256493941e+13,1.2460445031248e+13,1.2506460654521e+13,9,13.7629,1,1,3,9,19,42,68,2016-12-25,10:52:55
2890000,9342,617,41,1.1502115186826e+13,1.1606863660239566e+13,1.1251801212349e+13,1.130218703946e+13,1.1409397474476e+13,1.1502111507431e+13,1.173166056706e+13,1.2424209874679e+13,1.2552637799634e+13,9,14.095,1,1,3,9,19,44,74,2016-12-27,02:02:05
2900000,9358,611,31,1.12706421579885e+13,1.12649672771294e+13,1.0984950608824e+13,1.1026115574793e+13,1.1119489627188e+13,1.1270579750332e+13,1.1385731103403e+13,1.1550716832108e+13,1.1605998798936e+13,9,13.9382,1,1,3,9,19,43,71,2016-12-28,16:45:07
2910000,9293,666,41,1.1828141210337e+13,1.2167137464001625e+13,1.1014635257601e+13,1.1072609428007e+13,1.1162460732458e+13,1.182741829655e+13,1.3346181914982e+13,1.4180299818919e+13,1.4404465884744e+13,8,13.4626,1,1,2,8,18,42,69,2016-12-30,06:08:53
2920000,9210,747,43,1.43011928447365e+13,1.4312058006296902e+13,1.3800203684004e+13,1.3925431968771e+13,1.4191223600672e+13,1.4301127318702e+13,1.4434768506816e+13,1.4686364594818e+13,1.4785887488577e+13,9,13.9129,1,1,2,9,19,44,74,2016-12-31,20:47:42
2930000,9246,717,37,1.35862196116785e+13,1.3601324946756873e+13,1.317074149078e+13,1.3234678329601e+13,1.3400305119875e+13,1.3586168680269e+13,1.3797787464523e+13,1.3997097212686e+13,1.4160354705189e+13,8,13.9762,1,1,2,8,19,44,73,2017-01-02,11:37:04
2940000,9189,758,53,1.34741998464815e+13,1.33705609173598e+13,1.2464478305748e+13,1.2580736270982e+13,1.3213924386667e+13,1.3474189283592e+13,1.3640057039677e+13,1.3828989436113e+13,1.3888624763782e+13,8,13.9521,1,1,2,8,19,44,75,2017-01-04,02:22:25
2950000,9164,789,47,1.33744931728285e+13,1.3342242125506773e+13,1.2507559782041e+13,1.2589073011467e+13,1.2837654905395e+13,1.3374372817668e+13,1.3879989850021e+13,1.4126344567943e+13,1.4248740537359e+13,8,13.6939,1,1,2,8,19,43,71,2017-01-05,16:24:44
2960000,9211,741,48,1.3809014167985e+13,1.3796905520152996e+13,1.3098156781917e+13,1.3167683961648e+13,1.3349294290825e+13,1.3808947059121e+13,1.4258491325743e+13,1.4417249078424e+13,1.4523310888169e+13,9,14.0263,1,1,2,9,20,44,72,2017-01-07,07:22:27
2970000,9044,898,58,1.35373214589545e+13,1.357483402369948e+13,1.3156430470648e+13,1.3205409293563e+13,1.3405809242303e+13,1.3537320436953e+13,1.3704773113594e+13,1.4131459306814e+13,1.4239277430857e+13,9,14.0075,1,1,3,9,20,44,67,2017-01-08,22:17:02
2980000,9162,788,50,1.3504740207528e+13,1.3517480320039627e+13,1.290084893715e+13,1.3100492650275e+13,1.3385791037426e+13,1.3504725992768e+13,1.3687866055861e+13,1.3885476844466e+13,1.3975703759449e+13,9,14.0263,1,1,3,9,20,45,68,2017-01-10,13:14:45
2990000,9283,682,35,1.3027663362322e+13,1.298563817840787e+13,1.2127062781326e+13,1.2305305219983e+13,1.2667031831984e+13,1.3027603872103e+13,1.328620365919e+13,1.3682532847166e+13,1.3794230178993e+13,9,14.2974,1,1,3,9,20,45,70,2017-01-12,04:57:39
3000000,9257,712,31,1.26214311098825e+13,1.265575070434843e+13,1.2059662032573e+13,1.216942106809e+13,1.2457791907214e+13,1.2621417860827e+13,1.2786778032785e+13,1.3331436008593e+13,1.3433673808266e+13,9,13.8816,1,1,3,9,20,43,66,2017-01-13,19:31:15
3010000,9334,643,23,1.2859371447942e+13,1.2815060525534797e+13,1.2266700639393e+13,1.2405009078149e+13,1.2639190108461e+13,1.2859367638117e+13,1.2971210465373e+13,1.3211787955839e+13,1.3396714856441e+13,9,14.362,1,1,3,9,20,46,71,2017-01-15,11:24:55
3020000,9398,574,28,1.284858693642e+13,1.2850455201752473e+13,1.2574574784844e+13,1.2621634949135e+13,1.2737813705944e+13,1.2848586457228e+13,1.2973027721316e+13,1.3075410029218e+13,1.3136119266521e+13,9,14.254,1,1,3,9,20,45,68,2017-01-17,03:00:35
3030000,9388,588,24,1.2514498286684e+13,1.2495157460070014e+13,1.1968482479701e+13,1.206175291345e+13,1.2284666494986e+13,1.2514489585259e+13,1.2705561903029e+13,1.2944002712995e+13,1.3001445427058e+13,9,14.3044,1,1,3,9,20,46,69,2017-01-18,18:44:39
3040000,9328,649,23,1.23089700800495e+13,1.2376581171788074e+13,1.1920500101208e+13,1.2001005104808e+13,1.2168353154931e+13,1.2308950250751e+13,1.2565019059095e+13,1.2956019082626e+13,1.3032718807694e+13,9,14.2651,1,1,3,9,20,45,71,2017-01-20,10:22:10
3050000,9354,623,23,1.38866687288015e+13,1.367938524084766e+13,1.2167264144809e+13,1.236133154507e+13,1.3344331029929e+13,1.3886507985244e+13,1.4107362930257e+13,1.4273392426082e+13,1.4414487238085e+13,9,13.8956,1,1,2,9,20,45,73,2017-01-22,00:58:06
3060000,9377,589,34,1.40293665598185e+13,1.4035739857669678e+13,1.3741330515591e+13,1.3816467561709e+13,1.3939657194994e+13,1.4029364484419e+13,1.412280314389e+13,1.4282822741371e+13,1.4407168126692e+13,9,14.1139,1,1,3,9,20,45,72,2017-01-23,16:10:25
3070000,9349,621,30,1.4353731064729e+13,1.4351829514594611e+13,1.4007816785777e+13,1.4106375140444e+13,1.4273303816161e+13,1.4353725776268e+13,1.4435337123507e+13,1.4593930331936e+13,1.4671384394635e+13,9,14.1123,1,1,2,9,20,47,72,2017-01-25,07:22:28
3080000,9279,681,40,1.42097074344235e+13,1.4195889834978043e+13,1.3794025677013e+13,1.3853483674134e+13,1.4117790700735e+13,1.4209697634458e+13,1.429557255557e+13,1.4444530630271e+13,1.4525165336328e+13,9,14.1399,1,1,2,9,20,45,72,2017-01-26,22:39:07
3090000,9381,596,23,1.41059425815015e+13,1.4199279954563102e+13,1.3759302856581e+13,1.3824731934883e+13,1.3945349921087e+13,1.410588353843e+13,1.4455125820605e+13,1.4726876727399e+13,1.4833469386751e+13,10,14.5631,1,1,4,10,20,44,64,2017-01-28,15:06:18
3100000,9332,638,30,1.4015130373923e+13,1.4009976121563818e+13,1.3454959432331e+13,1.3554511853177e+13,1.3916680781837e+13,1.4015114940605e+13,1.412721594024e+13,1.4395395971219e+13,1.4567524710213e+13,11,14.6079,1,1,5,11,20,42,62,2017-01-30,07:40:57
3110000,9364,618,18,1.42247734854895e+13,1.4366149712101453e+13,1.3711913897385e+13,1.3799765921719e+13,1.4031126283741e+13,1.4224760512178e+13,1.4812070128732e+13,1.5040662149414e+13,1.5109514793927e+13,10,14.4598,1,1,5,10,20,42,63,2017-01-31,23:50:55
3120000,9322,654,24,1.44112024239635e+13,1.4455955402131088e+13,1.4102413154917e+13,1.4149499628186e+13,1.4281703333607e+13,1.4411191929458e+13,1.4623360563486e+13,1.4853418357073e+13,1.493140032711e+13,11,14.6225,1,1,5,11,20,43,66,2017-02-02,16:28:00
3130000,9274,683,43,1.4059195544385e+13,1.4134392188960605e+13,1.3746157853389e+13,1.3797943332916e+13,1.3944964247427e+13,1.4059089059004e+13,1.4286869991757e+13,1.4657564799968e+13,1.4771093562362e+13,11,14.549,1,1,4,11,20,43,65,2017-02-04,08:52:50
3140000,9257,711,32,1.4169576753439e+13,1.4195627385834695e+13,1.3743181111729e+13,1.3810129404344e+13,1.3995859322514e+13,1.4169559471789e+13,1.4406437606497e+13,1.456988929018e+13,1.4691789599276e+13,11,14.4153,1,1,4,11,20,42,63,2017-02-06,00:55:23
3150000,9180,787,33,1.52414520592785e+13,1.526688189908424e+13,1.4400473328947e+13,1.4630719249275e+13,1.5060635937382e+13,1.5241401053293e+13,1.5541999431363e+13,1.5803688893789e+13,1.6035909844e+13,11,14.3003,1,1,4,11,20,41,63,2017-02-07,16:38:46
3160000,9168,786,46,1.5230995184236e+13,1.522350139197744e+13,1.4855606171658e+13,1.4916710874898e+13,1.5090769053628e+13,1.5230955061586e+13,1.5360324613774e+13,1.5500620924082e+13,1.554480919634e+13,11,14.4365,1,1,4,11,20,42,63,2017-02-09,08:44:51
3170000,9304,658,38,1.40929651267605e+13,1.417192947303129e+13,1.3711428715435e+13,1.3783874357976e+13,1.3925352882502e+13,1.4092930448993e+13,1.4384718081693e+13,1.4772313442956e+13,1.4849570104081e+13,11,14.5264,1,1,4,11,21,42,63,2017-02-11,01:05:55
3180000,9318,665,17,1.37536157507875e+13,1.3762043471671111e+13,1.3397953320989e+13,1.3473943931206e+13,1.3588511941931e+13,1.3753613815149e+13,1.3881293851229e+13,1.4129053031907e+13,1.4308564503619e+13,10,14.3879,1,1,4,10,21,42,63,2017-02-12,17:03:54
3190000,9246,727,27,1.3478974407963e+13,1.3525876018791713e+13,1.3163521572979e+13,1.3265945550673e+13,1.3396088308233e+13,1.3478947246438e+13,1.3668152503061e+13,1.386133639576e+13,1.4036432305522e+13,10,14.3661,1,1,4,10,21,42,64,2017-02-14,08:58:15
