block,uncles_zero,uncles_one,uncles_two,difficulty_median,difficulty_mean,difficulty_p1,difficulty_p5,difficulty_p25,difficulty_p50,difficulty_p75,difficulty_p95,difficulty_p99,timedelta_median,timedelta_mean,timedelta_p1,timedelta_p5,timedelta_p25,timedelta_p50,timedelta_p75,timedelta_p95,timedelta_p99,block_timestamp_date,block_timestamp_time
200000,9336,637,27,6.321282733791e+12,6.325277798666795e+12,6.222437610669e+12,6.242744055154e+12,6.278513082823e+12,6.321273691122e+12,6.361606215218e+12,6.430835729686e+12,6.450742515078e+12,13,17.5253,1,1,5,13,24,51,79,2015-09-07,21:33:09
210000,9336,639,25,6.1550156995345e+12,6.139054010630908e+12,5.984474227711e+12,5.996614408971e+12,6.054806555973e+12,6.1550149658e+12,6.206259112498e+12,6.267040009916e+12,6.317122223932e+12,12,17.3248,1,1,6,12,24,49,74,2015-09-09,21:40:37
220000,9248,717,35,6.3686469690065e+12,6.401602551253622e+12,6.170345620549e+12,6.215557040577e+12,6.283948496118e+12,6.368644691404e+12,6.514563084493e+12,6.650593844402e+12,6.761375960277e+12,12,17.1292,1,1,6,12,24,48,73,2015-09-11,21:15:29
230000,9333,642,25,6.947391043267e+12,6.914881410622197e+12,6.694716884669e+12,6.733487349859e+12,6.78766041881e+12,6.947377792185e+12,7.019731794008e+12,7.085829103587e+12,7.107943912764e+12,12,17.277,1,1,6,12,24,49,75,2015-09-13,21:14:59
240000,9268,700,32,6.4818073441955e+12,6.5542168242381e+12,6.34164794323e+12,6.370890070096e+12,6.406869373874e+12,6.481806571505e+12,6.6403965978e+12,6.960375162494e+12,7.001643902007e+12,13,17.7383,1,1,6,13,24,52,77,2015-09-15,22:31:22
250000,9235,736,29,6.1457263306535e+12,6.116745210613935e+12,5.762684727913e+12,5.917005524083e+12,6.061766475509e+12,6.1457248654e+12,6.195029613732e+12,6.255978697128e+12,6.317967242685e+12,13,17.7742,1,1,6,13,24,51,78,2015-09-17,23:53:44
260000,9143,819,38,5.585516052173e+12,5.600090630208607e+12,5.374258480712e+12,5.43207691311e+12,5.499803052105e+12,5.585515386329e+12,5.705840272348e+12,5.809485057719e+12,5.840866294878e+12,12,17.3284,1,1,6,12,24,48,74,2015-09-20,00:01:48
270000,9328,641,31,6.447045576001e+12,6.356622730133895e+12,5.783876653811e+12,5.886172948839e+12,6.167538663382e+12,6.447044807454e+12,6.533972733269e+12,6.61170167809e+12,6.731029196211e+12,12,16.552,1,1,6,12,23,47,71,2015-09-21,22:00:28
280000,9408,575,17,6.764312178306e+12,6.738862695975622e+12,6.48198973994e+12,6.500869845726e+12,6.588956295142e+12,6.764311371938e+12,6.840121265498e+12,7.03577604468e+12,7.146261602231e+12,12,16.9463,1,1,5,12,23,48,74,2015-09-23,21:04:51
290000,9314,667,19,7.0153407726775e+12,7.000286956974051e+12,6.82521723582e+12,6.855720629606e+12,6.949074203412e+12,7.015338263799e+12,7.053540930866e+12,7.104253946936e+12,7.162806750915e+12,13,17.1257,1,2,6,13,24,48,72,2015-09-25,20:39:08
300000,9347,635,18,7.240203716977e+12,7.234331927634469e+12,7.085454979442e+12,7.110788206215e+12,7.197546888375e+12,7.240201127681e+12,7.275054710189e+12,7.331662677411e+12,7.371371746057e+12,12,17.5703,1,2,6,12,24,51,79,2015-09-27,21:27:31
310000,9391,588,21,6.4495377279305e+12,6.426290591792173e+12,5.721869006481e+12,5.752580835287e+12,6.101331301861e+12,6.449536959088e+12,6.803835275553e+12,7.062861170024e+12,7.202495048566e+12,13,18.5653,1,2,6,13,26,53,78,2015-09-30,01:01:44
320000,9288,695,17,5.62842001386e+12,5.642858443932091e+12,5.424406933537e+12,5.445989324461e+12,5.510421404267e+12,5.628419342902e+12,5.735504719834e+12,5.931220181153e+12,5.957570439725e+12,12,17.3148,1,2,6,12,24,49,75,2015-10-02,01:07:32
330000,9420,560,20,6.131766431486e+12,6.140801817140658e+12,5.850053413969e+12,5.881704272804e+12,5.946561910789e+12,6.130710553414e+12,6.318642227828e+12,6.391441083958e+12,6.42563037341e+12,12,16.8678,1,2,6,12,23,48,73,2015-10-03,23:58:50
340000,9438,545,17,6.261994106748e+12,6.247489097928196e+12,6.067517749586e+12,6.099905944833e+12,6.208869248421e+12,6.261993360262e+12,6.296434393624e+12,6.340204316179e+12,6.406897775832e+12,12,17.4582,1,2,6,12,24,50,76,2015-10-06,00:28:32
350000,9442,548,10,6.062651160053e+12,6.119005370101197e+12,5.894617604905e+12,5.924098095078e+12,5.976820184366e+12,6.062649714608e+12,6.299452510923e+12,6.370728449903e+12,6.428649127279e+12,13,17.6145,1,2,6,13,24,50,78,2015-10-08,01:24:17
360000,9500,492,8,6.057312601569e+12,6.055921523723995e+12,5.831175911229e+12,5.862952478426e+12,6.0039742246e+12,6.057306102795e+12,6.147605237028e+12,6.231816436976e+12,6.255837174895e+12,12,17.1453,1,2,6,12,23,49,74,2015-10-10,01:01:50
370000,9430,551,19,6.082627621672e+12,6.084674743306702e+12,5.92392368857e+12,5.94301932786e+12,5.996110669277e+12,6.082626896568e+12,6.172637542466e+12,6.250271868042e+12,6.276990373413e+12,13,17.3955,1,2,6,13,24,50,74,2015-10-12,01:21:05
380000,9453,533,14,6.268730391091e+12,6.252853791402597e+12,6.049194586499e+12,6.066967413378e+12,6.130344504278e+12,6.268729643802e+12,6.368695040211e+12,6.40978399468e+12,6.441410163445e+12,12,16.8198,1,2,6,12,23,47,71,2015-10-14,00:04:23
390000,9426,557,17,6.400750237404e+12,6.342806699798573e+12,6.07278217733e+12,6.092476767037e+12,6.151017671216e+12,6.400749474377e+12,6.483044008379e+12,6.576986684113e+12,6.612157464451e+12,13,17.5167,1,2,6,13,24,50,75,2015-10-16,00:43:50
400000,9421,565,14,5.950391963619e+12,5.910574197855938e+12,5.627160899242e+12,5.679851992198e+12,5.78786073743e+12,5.950381323519e+12,6.027213820939e+12,6.08767215581e+12,6.109342518687e+12,13,17.3974,1,2,6,13,24,49,75,2015-10-18,01:03:24
410000,9433,543,24,5.933213872399e+12,5.942880089777061e+12,5.807104131196e+12,5.821285768237e+12,5.889700916438e+12,5.933212457818e+12,5.98961754919e+12,6.099084435117e+12,6.117044676044e+12,13,17.4206,1,2,6,13,24,49,72,2015-10-20,01:26:50
420000,9393,586,21,5.8614431588185e+12,5.859912899191192e+12,5.753130368142e+12,5.764262489848e+12,5.817153406792e+12,5.861442460084e+12,5.894685932389e+12,5.967759350604e+12,6.011302926832e+12,12,17.3,1,2,6,12,24,50,76,2015-10-22,01:30:10
430000,9391,589,20,5.754768393964e+12,5.81249945433298e+12,5.600765022013e+12,5.619979203165e+12,5.673215739289e+12,5.754767707946e+12,5.938686709965e+12,6.170886684689e+12,6.215958314899e+12,12,17.0888,1,2,6,12,23,49,73,2015-10-24,00:58:18
440000,9355,625,20,6.437895983622e+12,6.44215036706812e+12,6.147902271674e+12,6.174695477184e+12,6.277279436285e+12,6.437893681263e+12,6.603474711066e+12,6.675458083627e+12,6.704822180165e+12,12,16.8231,1,2,6,12,23,48,70,2015-10-25,23:42:09
450000,9296,672,32,6.5386966238225e+12,6.536386235914516e+12,6.250204315841e+12,6.299045061003e+12,6.444466494794e+12,6.538695844353e+12,6.624702464758e+12,6.821036911931e+12,6.850958079317e+12,12,17.0112,1,2,6,12,23,48,73,2015-10-27,22:57:21
460000,9209,753,38,6.9717100645685e+12,6.935660920997027e+12,6.707989714658e+12,6.739692344649e+12,6.818721519198e+12,6.97170923348e+12,7.022696976127e+12,7.113267727619e+12,7.153593934449e+12,12,17.1643,1,2,6,12,23,49,75,2015-10-29,22:38:04
470000,9132,829,39,7.6437483080285e+12,7.587936566199571e+12,7.146239976746e+12,7.244297348156e+12,7.382733411516e+12,7.643716415961e+12,7.79787862143e+12,7.869564358393e+12,7.901603536126e+12,12,16.5942,1,2,6,12,23,45,68,2015-10-31,20:43:46
480000,8894,1041,65,7.747613509148e+12,7.75647930225233e+12,7.637881508653e+12,7.663945423332e+12,7.705397251969e+12,7.747609814814e+12,7.801299329328e+12,7.878395219799e+12,7.905835899395e+12,13,16.9173,1,3,6,13,23,46,73,2015-11-02,19:43:19
490000,8970,977,53,7.5291212184905e+12,7.505355485653043e+12,7.1407338099e+12,7.164964569714e+12,7.30595510814e+12,7.529114935728e+12,7.690833596125e+12,7.882456399069e+12,7.92882361549e+12,12,16.9854,1,2,6,12,23,47,72,2015-11-04,18:54:13
500000,9153,801,46,7.6031122656175e+12,7.600483929342975e+12,7.394043431341e+12,7.423313855605e+12,7.523853652197e+12,7.60311135926e+12,7.671313684079e+12,7.793536919764e+12,7.928235731887e+12,13,16.9612,1,2,6,13,23,46,72,2015-11-06,18:01:05
510000,8933,996,71,7.605236236324e+12,7.60746151193813e+12,7.370014055575e+12,7.392628027124e+12,7.511196350679e+12,7.605235329717e+12,7.69322325576e+12,7.832544315468e+12,7.882515723093e+12,12,17.1821,1,2,6,12,23,47,74,2015-11-08,17:44:46
520000,9005,948,47,7.762734226229e+12,7.759101685357762e+12,7.591130677628e+12,7.625201662694e+12,7.707110746219e+12,7.762728227612e+12,7.809606849258e+12,7.884345488514e+12,7.90893924993e+12,13,17.2944,1,2,6,13,23,48,72,2015-11-10,17:47:10
530000,8741,1168,91,7.696826680102e+12,7.707548628369874e+12,7.486238368213e+12,7.548425363608e+12,7.620282935102e+12,7.696814752272e+12,7.795902943018e+12,7.886536750862e+12,7.91390962506e+12,12,17.099,2,3,7,12,23,46,68,2015-11-12,17:17:00
540000,8725,1189,86,7.856294479242e+12,7.877110471354437e+12,7.721342726191e+12,7.743601920566e+12,7.796850026596e+12,7.856289312165e+12,7.94176754535e+12,8.063862224787e+12,8.091886222172e+12,12,16.8438,1,3,7,12,23,46,68,2015-11-14,16:04:18
550000,8914,1010,76,8.223174397344e+12,8.200932571055331e+12,7.850099383552e+12,7.891780914867e+12,8.087759632629e+12,8.223173417073e+12,8.307889190841e+12,8.457508774466e+12,8.478001308727e+12,12,16.8928,1,3,6,12,23,47,71,2015-11-16,14:59:46
