block,uncles_zero,uncles_one,uncles_two,difficulty_avg,blocktime_avg
2210000,8873,1046,81,8535039521395,14
2220000,8715,1184,101,8638829994841,14
2230000,8694,1202,104,8432200739964,14
2240000,8753,1158,89,8317307002005,14
2250000,8599,1252,149,7872840679347,14
2260000,8585,1260,155,7714680796985,14
2270000,8517,1335,148,7760710584979,14
2280000,8535,1311,154,7822890896968,14
2290000,8637,1234,129,7870938114950,14
2300000,8795,1116,89,6941806585854,14
2310000,8917,997,86,7651717263572,14
2320000,8926,999,75,7389426865196,14
2330000,8905,1017,78,7601137094389,14
2340000,8929,1000,71,7387290602265,14
2350000,8883,1018,99,7781883725172,14
2360000,8830,1067,103,7684876719060,14
2370000,8676,1200,124,7407297601531,14
2380000,8618,1237,145,7597583658113,14
2390000,8768,1151,81,7789670000414,14
2400000,8917,1003,80,7830000189601,14
2410000,9041,905,54,8136065948244,14
2420000,9069,875,56,8534991261028,14
2430000,7976,1605,419,6927027008339,14
2440000,8931,963,106,7286268186252,14
2450000,9121,798,81,7846554416224,14
2460000,8980,934,86,8229374283886,14
2470000,8469,1221,310,7536405563111,14
2480000,9263,694,43,8453523175983,14
2490000,9385,590,25,8919211113327,14
2500000,9241,709,50,8785511725623,14
2510000,9273,696,31,9178452512488,14
2520000,9240,721,39,9125657151022,14
2530000,9130,830,40,7680580681024,14
2540000,8973,964,63,6483088274949,14
2550000,8979,957,64,5668819265770,14
2560000,8708,1186,106,4649494665524,14
2570000,8826,1089,85,4405448179007,14
2580000,8961,975,64,4768626471642,14
2590000,8930,986,84,5711805099667,13
2600000,9139,815,46,5596451090304,14
2610000,9203,754,43,5320473131490,14
2620000,9051,891,58,5637193216720,12
2630000,9050,901,49,5898293228237,12
2640000,9088,853,59,6103955830307,13
2650000,9099,848,53,6509045103035,14
2660000,9063,887,50,6446955833407,13
2670000,9188,774,38,7362130269946,13
2680000,9109,823,68,6757025253295,14
2690000,9151,802,47,6048495697900,14
2700000,9170,781,49,5736221270289,13
2710000,9192,763,45,5728957576214,14
2720000,9246,719,35,5974109723158,13
2730000,9256,700,44,6192502796021,14
2740000,9157,798,45,6440404522645,13
2750000,9269,696,35,7316375091254,13
2760000,9165,784,51,7569469573574,13
2770000,9222,737,41,7963007784670,14
2780000,9257,701,42,7249847080515,13
2790000,9272,693,35,7854921978131,13
2800000,9248,713,39,9215049868178,13
2810000,9340,618,42,9249754108575,13
2820000,9207,761,32,10250728484832,13
2830000,9222,728,50,11664695549018,13
2840000,9133,811,56,11805353351960,13
2850000,9181,768,51,13620858332640,13
2860000,9233,714,53,13648825818806,14
2870000,9314,656,30,12405217860497,14
2880000,9300,666,34,11598455740689,13
2890000,9342,617,41,11606863660239,14
2900000,9358,611,31,11264967277129,13
2910000,9293,666,41,12167137464001,13
2920000,9210,747,43,14312058006296,13
2930000,9246,717,37,13601324946756,13
2940000,9189,758,53,13370560917359,13
2950000,9164,789,47,13342242125506,13
2960000,9211,741,48,13796905520152,14
2970000,9044,898,58,13574834023699,14
2980000,9162,788,50,13517480320039,14
2990000,9283,682,35,12985638178407,14
3000000,9257,712,31,12655750704348,13
3010000,9334,643,23,12815060525534,14
3020000,9398,574,28,12850455201752,14
3030000,9388,588,24,12495157460070,14
3040000,9328,649,23,12376581171788,14
3050000,9354,623,23,13679385240847,13
3060000,9377,589,34,14035739857669,14
3070000,9349,621,30,14351829514594,14
3080000,9279,681,40,14195889834977,14
3090000,9381,596,23,14199279954563,14
3100000,9332,638,30,14009976121563,14
3110000,9364,618,18,14366149712101,14
3120000,9322,654,24,14455955402131,14
3130000,9274,683,43,14134392188960,14
3140000,9257,711,32,14195627385834,14
3150000,9180,787,33,15266881899084,14
3160000,9168,786,46,15223501391977,14
3170000,9304,658,38,14171929473031,14
3180000,9318,665,17,13762043471671,14
3190000,9246,727,27,13525876018791,14
3200000,9210,752,38,13074799686669,14
3210000,9173,785,42,13121914790727,14
3220000,9162,797,41,12942964984261,14
3230000,9392,576,32,13356291126358,14
3240000,9350,613,37,13658858254385,14
3250000,9371,610,19,13559633768699,14
3260000,9209,759,32,13297501518723,14
3270000,9264,709,27,13292549710120,14
3280000,9193,757,50,12366467006098,14
3290000,9158,808,34,12191329509696,14
3300000,9292,678,30,11608184133237,14
3310000,9428,547,25,12223610695411,14
3320000,9379,597,24,12230529903112,14
3330000,9405,571,24,13041953463353,14
3340000,9277,685,38,12743397917484,14
3350000,9184,772,44,12099548387504,14
3360000,9380,591,29,11855545225626,14
3370000,9458,521,21,11265572069091,14
3380000,9484,500,16,9808156073699,15
3390000,9468,507,25,9435031043842,14
3400000,9467,513,20,9534763572023,14
3410000,9394,589,17,11752946945471,14
3420000,9455,519,26,11466625673018,14
3430000,9471,498,31,10805941666896,14
3440000,9455,526,19,10591464709440,14
3450000,9455,519,26,10532587700879,14
3460000,9472,504,24,11560698958037,14
3470000,9438,537,25,13962959728807,14
3480000,9495,487,18,13751993357988,14
3490000,9443,533,24,14522731077304,14
3500000,9499,484,17,15301888127567,14
3510000,9471,512,17,15395387409070,14
3520000,9507,476,17,15469982264153,14
3530000,9554,432,14,15427987004821,14
3540000,9520,462,18,15440196740377,14
3550000,9527,454,19,15061269703706,14
3560000,9576,415,9,15539470873199,14
3570000,9534,451,15,15580033039965,14
3580000,9509,470,21,17738499200449,14
3590000,9521,464,15,20267535755676,14
3600000,9510,478,12,20721576770875,14
3610000,9505,467,28,24163248884188,14
3620000,9483,495,22,25187663684773,14
3630000,9505,469,26,25918194554264,14
3640000,9437,543,20,25038764771964,14
3650000,9439,530,31,28566540379093,14
3660000,9360,618,22,28655127655941,14
3670000,9396,569,35,27549796026001,14
3680000,9371,600,29,27596222542831,14
3690000,9405,562,33,27777196985390,14
3700000,9417,561,22,28154829411828,14
3710000,9437,542,21,27749237760367,14
3720000,9426,547,27,27490886838318,14
3730000,9432,548,20,28617999828927,14
3740000,9393,571,36,28843124112331,14
3750000,9407,572,21,28666125303086,14
3760000,9365,605,30,28223452545153,14
3770000,9362,605,33,27299868879904,14
3780000,9243,704,53,26243310647350,14
3790000,9305,652,43,38371060141359,13
3800000,9305,664,31,43051716139402,14
3810000,9455,517,28,43280789551806,14
3820000,9437,536,27,44018557023946,14
3830000,9424,558,18,40697518089419,14
3840000,9397,583,20,42520474976303,14
3850000,9416,553,31,42140646150280,14
3860000,9441,537,22,41989319101899,14
3870000,9405,567,28,41564975549725,14
3880000,9426,555,19,42747127525294,14
3890000,9443,535,22,42008404944043,14
3900000,9412,571,17,42238803632523,14
3910000,9415,567,18,38323588259309,14
3920000,9462,520,18,37947701094283,14
3930000,9478,498,24,39241345367429,14
3940000,9459,528,13,45939567535775,14
3950000,9361,606,33,49100036239305,14
3960000,9347,610,43,54010097827300,14
3970000,9409,560,31,57403311972565,14
3980000,9366,617,17,58264221289381,14
3990000,9356,617,27,64410788975238,14
4000000,9463,513,24,61580393468043,14
4010000,9438,531,31,59337883490216,14
4020000,9455,525,20,64119440919916,14
4030000,9406,571,23,63737106581696,14
4040000,9444,532,24,66404823149585,14
4050000,9422,551,27,68066549078662,14
4060000,9415,564,21,70311240972916,14
4070000,9420,558,22,76872125269669,13
4080000,9399,563,38,85733643603654,14
4090000,9469,513,18,105234939576598,14
4100000,9478,501,21,107165579352508,14
4110000,9459,521,20,111366975414891,14
4120000,9431,553,16,114668461923382,14
4130000,9424,552,24,96768923161923,14
4140000,9478,504,18,93487233537897,14
4150000,9466,504,30,94523845247627,14
4160000,9392,588,20,93233530322142,14
4170000,9423,559,18,96220615335831,14
4180000,9389,576,35,96179162293377,14
4190000,9445,535,20,98318586287100,14
4200000,9422,559,19,101341429427440,14
4210000,9399,573,28,103650833939128,14
4220000,9405,566,29,105418506342318,14
4230000,9383,600,17,103509819592780,14
4240000,9395,590,15,97195079464718,14
4250000,9413,559,28,91512197701841,14
4260000,9472,511,17,91426775602076,14
4270000,9401,573,26,88134615739701,14
4280000,9411,568,21,84300394027083,14
4290000,9419,560,21,84394984501608,14
4300000,9385,592,23,82948637285071,14
4310000,9401,567,32,85051172618253,14
4320000,9426,543,31,86473400925061,14
4330000,9278,679,43,81073619321680,14
4340000,9415,563,22,88156497186333,14
4350000,9376,600,24,94269173673119,14
4360000,9400,572,28,96680709219676,14
4370000,9428,547,25,98721177891306,14
4380000,9388,591,21,95589986298212,14
4390000,9375,595,30,98509299245834,13
4400000,9419,560,21,130256727066413,14
4410000,9433,544,23,126249899081998,14
4420000,9411,561,28,124638259259224,14
4430000,9386,587,27,129413544593798,14
4440000,9430,542,28,130539928285764,14
4450000,9437,544,19,124243375133583,14
4460000,9429,552,19,125223095369372,14
4470000,9396,571,33,124848022938912,14
4480000,9409,570,21,115945811506989,14
4490000,9426,557,17,113175365258077,14
4500000,9466,510,24,109107866222367,14
4510000,9382,589,29,104122321756595,14
4520000,9390,584,26,110339065436316,14
4530000,9353,623,24,110763266627763,14
4540000,9419,550,31,110354832593414,14
4550000,9398,577,25,118683520234121,14
4560000,9404,574,22,122561722849660,14
4570000,9409,562,29,123048227001551,14
4580000,9416,552,32,123446029842844,14
4590000,9427,549,24,122763646452948,14
4600000,9400,569,31,121932190495440,14
4610000,9383,574,43,120587474156035,14
4620000,9390,582,28,118921638526364,14
4630000,9384,594,22,114641796923410,14
4640000,9406,567,27,115825952627700,14
4650000,9352,617,31,111725537291643,14
4660000,9383,591,26,110198491759696,14
4670000,9456,523,21,103245159205164,14
4680000,9439,539,22,94066275858086,14
4690000,9365,610,25,92380258943418,14
4700000,9419,557,24,92766856876696,14
4710000,9454,522,24,92681074489674,14
4720000,9408,563,29,91677735197900,14
4730000,9395,583,22,91537465221603,14
4740000,9461,510,29,90537082535377,14
4750000,9431,539,30,89170607154781,14
4760000,9448,529,23,89997569763435,14
4770000,9412,554,34,86620321403715,14
4780000,9434,542,24,93553594805860,14
4790000,9408,567,25,109598651740463,13
4800000,9422,557,21,111769120749066,14
4810000,9433,544,23,106559007369264,14
4820000,9398,579,23,123265213416776,13
4830000,9486,487,27,133273095942349,14
4840000,9401,578,21,122024989715678,14
4850000,9388,585,27,120144200794650,14
4860000,9349,610,41,121955802520149,14
4870000,9389,580,31,120739583008328,14
4880000,9313,653,34,125189745896217,14
4890000,9334,631,35,120300728788893,14
4900000,9386,584,30,117055592527596,14
4910000,9352,622,26,121699650527328,14
4920000,9374,593,33,132669320705557,13
4930000,9349,612,39,160021771704046,14
4940000,9353,618,29,150135281723257,14
4950000,9419,552,29,164531618769180,14
4960000,9449,527,24,160496907447806,14
4970000,9448,525,27,155222851164120,14
4980000,9426,542,32,152394567415577,14
4990000,9434,531,35,154065707498115,14
5000000,9467,507,26,153324019808075,14
5010000,9417,554,29,138476031464253,14
5020000,9446,520,34,119668455931457,14
5030000,9470,491,39,120548247395338,14
5040000,9393,576,31,124061622582504,14
5050000,9452,516,32,126963085530699,14
5060000,9415,557,28,126603326757305,14
5070000,9472,504,24,125047187835244,14
5080000,9476,503,21,121840948737423,14
5090000,9441,526,33,118544189673932,14
5100000,9463,505,32,117004429662363,14
5110000,9446,530,24,117563698790668,14
5120000,9470,510,20,115500162061496,14
5130000,9353,609,38,110630635396006,14
5140000,9450,528,22,114444180508437,14
5150000,9413,552,35,113203903260940,14
5160000,9410,562,28,109278607068736,14
5170000,9426,545,29,107955044207912,14
5180000,9458,517,25,105159431003105,14
5190000,9453,520,27,100892529714062,14
5200000,9434,542,24,98812224256297,14
5210000,9450,523,27,101058040974085,14
5220000,9497,469,34,105552085175975,14
5230000,9494,476,30,106423748596856,14
5240000,9510,473,17,108103287592653,14
5250000,9442,522,36,104938127376343,14
5260000,9447,532,21,106649175926622,14
5270000,9523,454,23,103272294604928,14
5280000,9522,456,22,107806916517103,14
5290000,9511,462,27,109794345193111,14
5300000,9538,439,23,109546143780704,14
5310000,9522,457,21,111026497197409,14
5320000,9479,496,25,109734202459705,14
5330000,9539,445,16,108437413344387,14
5340000,9359,598,43,105196101422920,14
5350000,9542,434,24,106368287077924,14
5360000,9511,467,22,109015289211626,14
5370000,9559,415,26,117231837999384,14
5380000,9516,465,19,125462576485606,14
5390000,9511,461,28,156675672103205,14
5400000,9489,488,23,152190739386465,14
5410000,9548,424,28,152299991693158,14
5420000,9492,487,21,155388816723855,14
5430000,9459,506,35,173781509789317,14
5440000,9563,420,17,172666659795645,14
5450000,9551,428,21,176772378656199,14
5460000,9542,438,20,178405464366122,14
5470000,9573,400,27,174468641123205,14
5480000,9549,424,27,172473027675442,14
5490000,9537,433,30,165865469211160,14
5500000,9511,459,30,156850504577602,14
5510000,9501,476,23,154344292791356,15
5520000,9531,454,15,150943551761882,15
5530000,9562,419,19,144402178828231,15
5540000,9520,453,27,142028855967056,15
5550000,9518,455,27,141479906669138,15
5560000,9559,415,26,141531804580200,15
5570000,9532,440,28,140989163832898,15
5580000,9533,444,23,145471049536201,15
5590000,9530,452,18,160334481240277,15
5600000,9537,439,24,158658376544263,15
5610000,9559,429,12,166511966791027,16
5620000,9566,415,19,166485584552097,16
5630000,9550,436,14,163778321486508,16
5640000,9530,442,28,167000176631842,16
5650000,9568,414,18,162558952066513,16
5660000,9565,412,23,160966928984826,16
5670000,9568,408,24,166283381003301,16
5680000,9595,376,29,169638176721231,16
5690000,9585,395,20,164586107219799,16
5700000,9617,373,10,158567241628611,16
5710000,9621,365,14,170536017448636,18
5720000,9672,316,12,166335853520500,18
5730000,9661,314,25,165629396197160,18
5740000,9639,347,14,165808992562657,18
5750000,9635,352,13,163696359539076,18
5760000,9657,333,10,156492524131415,18
5770000,9665,323,12,154868225572773,18
5780000,9638,346,16,155602353096528,18
5790000,9649,343,8,153783238334185,18
5800000,9646,339,15,154097450835846,18
5810000,9676,313,11,177265697253160,22
5820000,9673,316,11,177128440759357,22
5830000,9680,315,5,171301279947088,22
5840000,9722,271,7,167679313270608,22
5850000,9698,296,6,165327330872748,22
5860000,9694,293,13,160380136189457,23
5870000,9391,559,50,155365505210144,23
5880000,9538,433,29,152672993963346,23
5890000,9457,521,22,146120159342414,23
5900000,9494,471,35,145976179568962,23
5910000,9484,494,22,118649354822059,14
5920000,9535,444,21,114878052175321,14
5930000,9466,508,26,110056838391257,14
5940000,9521,455,24,107856042760685,14
5950000,9475,499,26,105688375122690,14
5960000,9547,431,22,105264700256034,14
5970000,9569,410,21,109456206004022,14
5980000,9629,354,17,106577585646669,14
5990000,9592,386,22,127553425050768,13
6000000,9558,420,22,122303402586901,14
6010000,9646,338,16,119188477183637,13
6020000,9647,341,12,124679276808728,14
6030000,9651,331,18,130106019300570,14
6040000,9663,326,11,140128464888604,13
6050000,9655,333,12,150765258697862,14
6060000,9665,324,11,144958387805096,14
6070000,9594,388,18,156205494631438,14
6080000,9670,318,12,158868624423594,14
6090000,9628,354,18,158666223790139,14
6100000,9583,400,17,164021597978950,14
6110000,9573,415,12,159255840984591,14
6120000,9607,377,16,160397829250980,14
6130000,9596,386,18,167572122162236,14
6140000,9225,668,107,171798316916667,14
6150000,9519,427,54,179298559229122,13
6160000,9606,377,17,176030331518595,14
6170000,9583,405,12,172419301788889,14
6180000,9548,423,29,175717563850599,14
6190000,9593,381,26,171930640127359,14
6200000,9571,418,11,167908352733947,14
6210000,9545,437,18,169000850427105,14
6220000,9537,441,22,175216454431129,14
6230000,9553,433,14,169649631492233,14
6240000,9525,453,22,172228374541071,14
6250000,9604,382,14,173611207729761,14
6260000,9587,398,15,168148645329082,14
6270000,9590,396,14,171976051502506,14
6280000,9571,413,16,173869246194272,14
6290000,9568,409,23,180036648644680,14
6300000,9546,440,14,176639193673629,14
6310000,9571,408,21,182534522148655,13
6320000,9523,454,23,197388293619829,14
6330000,9519,451,30,221249624877183,14
6340000,9514,458,28,205795032180082,14
6350000,9518,461,21,200096693866740,14
6360000,9466,487,47,195825722507917,14
6370000,9608,373,19,198704710978125,14
6380000,9635,340,25,203660422949269,13
6390000,9608,371,21,216511607014686,14
6400000,9593,391,16,211739880802722,14
6410000,9613,364,23,208722643945473,14
6420000,9666,322,12,213267629541150,14
6430000,9644,340,16,206399043323712,14
6440000,9619,367,14,210530827165439,14
6450000,9611,370,19,213659655116594,14
6460000,9633,350,17,208798535546738,14
6470000,9707,279,14,210027681597689,14
6480000,9672,317,11,209313014347935,14
6490000,9668,321,11,207722009632287,14
6500000,9674,314,12,223537737429985,14
6510000,9690,298,12,223150600865465,14
6520000,9707,285,8,234243720733228,14
6530000,9664,331,5,241192649916262,14
6540000,9665,326,9,245174976015266,14
6550000,9655,339,6,243997907760320,14
6560000,9678,313,9,223521536415577,14
6570000,9677,313,10,217909336961539,14
6580000,9681,310,9,218183488458521,14
6590000,9680,312,8,216588949129046,14
6600000,9663,327,10,211650967040377,14
6610000,9682,307,11,208877477680067,14
6620000,9661,323,16,207224655218098,14
6630000,9665,326,9,214266822669836,14
6640000,9694,297,9,220269818422173,14
6650000,9690,303,7,219844233233465,14
6660000,9685,306,9,217688979555779,14
6670000,9690,296,14,210905864951830,14
6680000,9682,309,9,214140386491469,14
6690000,9674,317,9,212496384061401,14
6700000,9717,273,10,208784147919829,14
6710000,9707,283,10,211252519943973,14
6720000,9668,320,12,210644320738752,14
6730000,9697,292,11,208445596986351,14
6740000,9720,275,5,201930110263308,14
6750000,9733,262,5,202683304421271,14
6760000,9738,254,8,198429718407566,14
6770000,9705,282,13,200754890057492,14
6780000,9697,292,11,198724033663217,14
6790000,9694,294,12,196804329491981,14
6800000,9721,268,11,199863549268924,14
6810000,9677,310,13,197157892647613,14
6820000,9707,283,10,193278586242031,14
6830000,9743,249,8,191452651412893,14
6840000,9715,276,9,188499394170314,14
6850000,9692,300,8,187826285641736,14
6860000,9687,302,11,184378693142371,14
6870000,9705,285,10,181000619851418,14
6880000,9731,258,11,180136056757746,14
6890000,9718,273,9,178245614975057,14
6900000,9703,285,12,178801822576657,14
6910000,9690,299,11,181155768434383,14
6920000,9717,276,7,177009918237358,14
6930000,9745,248,7,176292866977189,14
6940000,9676,317,7,176338500602608,14
6950000,9711,280,9,172605978764174,14
6960000,9691,300,9,168914666609030,14
6970000,9705,282,13,161825552356542,14
6980000,9699,289,12,153876427844573,14
6990000,9663,323,14,152503292741551,14
7000000,9676,312,12,146919033059837,14
7010000,9606,363,31,140193390049286,14
7020000,9645,333,22,133708276374682,14
7030000,9643,345,12,132475805089485,14
7040000,9638,349,13,134532573573027,14
7050000,9675,304,21,139472292228747,14
7060000,9663,314,23,128449830744086,14
7070000,9682,299,19,126038440509625,14
7080000,9686,300,14,126252918217655,14
7090000,9656,323,21,125789657003630,14
7100000,9697,287,16,127830448756866,14
7110000,9660,322,18,124617005999309,14
7120000,9705,276,19,125119683370399,14
7130000,9713,261,26,124724236984391,14
7140000,9697,285,18,123242184322101,14
7150000,9684,297,19,125789453863011,14
7160000,9670,312,18,122030883487238,14
7170000,9690,295,15,117498998922005,14
7180000,9682,296,22,118648212488952,13
7190000,9678,308,14,127285773058628,13
7200000,9690,293,17,133813436166401,14
7210000,9687,290,23,126144292178717,14
7220000,9652,326,22,125335018658786,14
7230000,9716,265,19,118653575607234,14
7240000,9664,320,16,118928666060895,14
7250000,9591,386,23,121862397357361,13
7260000,9588,393,19,125299532448130,14
7270000,9636,344,20,115354286820157,14
7280000,9591,389,20,117719830440741,13
7290000,9619,361,20,122401001485712,14
7300000,9541,428,31,142566833538486,14
7310000,9622,356,22,122554762491977,14
7320000,9674,309,17,119190257989697,14
7330000,9614,360,26,122322746485234,14
